names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Creed III,2023-03-02,73.0,"Drama,Action","After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.","AdonisCreed,AmaraCreed,BiancaTaylor,DamienAnderson,FelixChavez,FlorianMunteanu,JonathanMajors,JoséBenavidezJr.,LauraChavez,MaryAnneCreed,MichaelB.Jordan,MilaDavis-Kent,PhyliciaRashād,SelenisLeyva,TessaThompson,Tony'LittleDuke'Evers,ViktorDrago,WoodHarris",Creed III,Released,English,75000000.0,271616668.0,AU
Avatar: The Way of Water,2022-12-15,78.0,"Science Fiction,Adventure,Action","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","CCHPounder,CliffCurtis,ColonelMilesQuaritch,EdieFalco,GeneralFrancesArdmore,JakeSully,JoelDavidMoore,KateWinslet,Kiri/Dr.GraceAugustine,Mo'at,Neytiri,NormSpellman,Ronal,SamWorthington,SigourneyWeaver,StephenLang,Tonowari,ZoeSaldaña",Avatar: The Way of Water,Released,English,460000000.0,2316794914.0,AU
The Super Mario Bros. Movie,2023-04-05,76.0,"Animation,Adventure,Family,Fantasy,Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","AnyaTaylor-Joy,Bowser(voice),CharlieDay,ChrisPratt,CrankyKong(voice),DonkeyKong(voice),FredArmisen,JackBlack,Kamek(voice),Keegan-MichaelKey,KevinMichaelRichardson,Luigi(voice),Mario(voice),PrincessPeach(voice),SebastianManiscalco,SethRogen,Spike(voice),Toad(voice)",The Super Mario Bros. Movie,Released,English,100000000.0,724459031.0,AU
Mummies,2023-01-05,70.0,"Animation,Comedy,Family,Adventure,Fantasy","Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.","AleixEstadella,AnaEstherAlborg,Carnaby(voice),Danny(voice),Dennis(voice),Ed(voice),JaumeSolà,JoséJavierSerranoRodríguez,JoséLuisMediavilla,LuisPérezReina,Madre(voice),MaríaLuisaSolá,MaríaMoscardó,Nefer(voice),Sekhem(voice),Thut(voice),Usi(voice),ÓscarBarberán", Momias,Released,"Spanish,Castilian",12300000.0,34200000.0,AU
Supercell,2023-03-17,61.0,Action,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.","AlecBaldwin,Amy,AnjulNigam,AnneHeche,BillBrody,DanielDiemer,DrQuinnBrody,HarperHunter,JohnnyWactor,JordanKristineSeamón,Martin,PrayaLundberg,Ramesh,RichardGunn,RoyCameron,SkeetUlrich,WilliamBrody,ZaneRogers",Supercell,Released,English,77000000.0,340941958.6,US
Cocaine Bear,2023-02-23,66.0,"Thriller,Comedy,Crime","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.","AldenEhrenreich,Bob,ChristianConvery,Daveed,Eddie,Henry,IsiahWhitlockJr.,JesseTylerFerguson,KeriRussell,KristoferHivju,MargoMartindale,O'SheaJacksonJr.,Olaf(Kristoffer),Peter,RangerLiz,RayLiotta,Sari,Syd",Cocaine Bear,Released,English,35000000.0,80000000.0,AU
John Wick: Chapter 4,2023-03-23,80.0,"Action,Thriller,Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","BillSkarsgård,BoweryKing,Caine,Charon,ClancyBrown,DonnieYen,HiroyukiSanada,IanMcShane,JohnWick,KeanuReeves,LanceReddick,LaurenceFishburne,MarquisdeGramont,MrNobody,ShamierAnderson,Shimazu,TheHarbinger,Winston",John Wick: Chapter 4,Released,English,100000000.0,351349364.0,AU
Puss in Boots: The Last Wish,2022-12-26,83.0,"Animation,Family,Fantasy,Adventure,Comedy","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","AntonioBanderas,BabyBear(voice),FlorencePugh,Goldilocks(voice),HarveyGuillén,JackHorner(voice),JohnMulaney,KittySoftpaws(voice),MamaBear(voice),OliviaColman,PapaBear(voice),Perrito(voice),PussinBoots(voice),RayWinstone,SalmaHayek,SamsonKayo,WagnerMoura,Wolf(voice)",Puss in Boots: The Last Wish,Released,English,90000000.0,483480577.0,AU
Attack on Titan,2022-09-30,59.0,"Action,Science Fiction","As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.","AdrianNaidu,AllisonQuince,AnthonyJensen,Computer(voice),ErinCoker,HeidiQuince,JackPearson,JennyTran,Jowers,JustinTanks,KaranSagoo,KimCosta,MarkMorales,MaxReece,NatalieStorrs,NeliSabour,PaulBianchi,SaoirseParker",Attack on Titan,Released,English,71000000.0,254946484.2,US
The Park,2023-03-02,58.0,"Action,Drama,Horror,Science Fiction,Thriller","A dystopian coming-of-age movie focused on three kids who find themselves in an abandoned amusement park, aiming to unite whoever remains. With dangers lurking around every corner, they will do whatever it takes to survive their hellish Neverland.","Bennett,BillySlaughter,Bui,CarliMcIntyre,CarminaGaray,ChloeGuidry,Ines,Jack,Kuan,LauraCoover,LegendJayJones,MartinParker,NhedrickJabier,PresleyRichardson,Reporter,Rue,SeanPapajohn,SlingshotGang",The Park,Released,English,119200000.0,488962491.0,US
